ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
100546257,Empire City,2015,RM 1 300 per month,Selangor - Damansara Perdana,Condominium,1,1,2,900 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100546254,Empire City,2015,RM 1 550 per month,Selangor - Damansara Perdana,Condominium,1,1,2,900 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100546247,Empire City,2015,RM 1 200 per month,Selangor - Damansara Perdana,Condominium,1,1,2,900 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100546246,"Casa Bluebell, Cybersouth",,RM 1 600 per month,Selangor - Dengkil,Townhouse Condo,3,1,2,1160 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Playground, Security, Club house",,Selangor
99514056,,,RM 1 300 per month,Selangor - USJ,Condominium,3,1,2,800 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
100546145,Radius Residence,2013,RM 1 200 per month,Selangor - Batu Caves,Condominium,3,1,2,916 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Security, Swimming Pool, Gymnasium, Playground, Lift, Barbeque area","Cooking Allowed, Washing Machine",Selangor
99567639,,,RM 1 000 per month,Selangor - Kajang,Apartment,3,2,2,984 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Air-Cond,Selangor
100336917,"4-sty Shop Apartment, Saujana Damansara, PJU 10",,RM 730 per month,Selangor - Damansara Damai,Apartment,3,,1,671 sq.ft.,Partially Furnished,,"Air-Cond, Washing Machine",Selangor
100506024,Ivory Residence,2015,RM 1 200 per month,Selangor - Kajang,Condominium,3,2,2,1300 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed",Selangor
100339443,Pangsapuri Damai Mewah B,,RM 900 per month,Selangor - Kajang,Apartment,3,1,2,957 sq.ft.,Not Furnished,"Parking, Barbeque area, Playground",,Selangor
